algorithm,data_type,size,run_number,time_ms,sorted_correctly
Merge sort,Random data,10000,1,5.372,yes
Merge sort,Random data,10000,2,5.243,yes
Merge sort,Random data,10000,3,8.134,yes
Merge sort,Random data,10000,4,6.933,yes
Merge sort,Random data,10000,5,5.270,yes
Merge sort,Random data,10000,6,5.549,yes
Merge sort,Random data,10000,7,6.657,yes
Merge sort,Random data,10000,8,7.276,yes
Merge sort,Random data,10000,9,8.643,yes
Merge sort,Random data,10000,10,8.367,yes
Merge sort,Random data,50000,1,46.757,yes
Merge sort,Random data,50000,2,42.146,yes
Merge sort,Random data,50000,3,45.605,yes
Merge sort,Random data,50000,4,32.937,yes
Merge sort,Random data,50000,5,37.251,yes
Merge sort,Random data,50000,6,32.745,yes
Merge sort,Random data,50000,7,33.868,yes
Merge sort,Random data,50000,8,32.984,yes
Merge sort,Random data,50000,9,39.604,yes
Merge sort,Random data,50000,10,38.127,yes
Merge sort,Random data,100000,1,81.178,yes
Merge sort,Random data,100000,2,76.284,yes
Merge sort,Random data,100000,3,70.978,yes
Merge sort,Random data,100000,4,69.217,yes
Merge sort,Random data,100000,5,70.872,yes
Merge sort,Random data,100000,6,85.295,yes
Merge sort,Random data,100000,7,74.461,yes
Merge sort,Random data,100000,8,86.915,yes
Merge sort,Random data,100000,9,85.181,yes
Merge sort,Random data,100000,10,82.620,yes
Merge sort,Random data,500000,1,438.230,yes
Merge sort,Random data,500000,2,444.169,yes
Merge sort,Random data,500000,3,473.387,yes
Merge sort,Random data,500000,4,408.877,yes
Merge sort,Random data,500000,5,436.465,yes
Merge sort,Random data,500000,6,418.584,yes
Merge sort,Random data,500000,7,428.630,yes
Merge sort,Random data,500000,8,414.764,yes
Merge sort,Random data,500000,9,440.806,yes
Merge sort,Random data,500000,10,412.133,yes
Merge sort,Random data,1000000,1,888.873,yes
Merge sort,Random data,1000000,2,922.731,yes
Merge sort,Random data,1000000,3,936.743,yes
Merge sort,Random data,1000000,4,897.086,yes
Merge sort,Random data,1000000,5,923.351,yes
Merge sort,Random data,1000000,6,947.141,yes
Merge sort,Random data,1000000,7,915.017,yes
Merge sort,Random data,1000000,8,908.642,yes
Merge sort,Random data,1000000,9,924.505,yes
Merge sort,Random data,1000000,10,917.765,yes
Merge sort,Partially sorted data,10000,1,4.548,yes
Merge sort,Partially sorted data,10000,2,4.530,yes
Merge sort,Partially sorted data,10000,3,5.046,yes
Merge sort,Partially sorted data,10000,4,5.647,yes
Merge sort,Partially sorted data,10000,5,5.406,yes
Merge sort,Partially sorted data,10000,6,5.623,yes
Merge sort,Partially sorted data,10000,7,5.433,yes
Merge sort,Partially sorted data,10000,8,5.030,yes
Merge sort,Partially sorted data,10000,9,5.718,yes
Merge sort,Partially sorted data,10000,10,6.264,yes
Merge sort,Partially sorted data,50000,1,31.569,yes
Merge sort,Partially sorted data,50000,2,28.271,yes
Merge sort,Partially sorted data,50000,3,25.789,yes
Merge sort,Partially sorted data,50000,4,26.489,yes
Merge sort,Partially sorted data,50000,5,30.780,yes
Merge sort,Partially sorted data,50000,6,30.558,yes
Merge sort,Partially sorted data,50000,7,26.193,yes
Merge sort,Partially sorted data,50000,8,29.239,yes
Merge sort,Partially sorted data,50000,9,26.591,yes
Merge sort,Partially sorted data,50000,10,31.856,yes
Merge sort,Partially sorted data,100000,1,64.989,yes
Merge sort,Partially sorted data,100000,2,64.126,yes
Merge sort,Partially sorted data,100000,3,75.564,yes
Merge sort,Partially sorted data,100000,4,56.709,yes
